,0
295,"3, 5184, Note_on_c, 0, 67, 110
"
296,"3, 5232, Note_on_c, 0, 67, 0
"
297,"3, 5232, Note_on_c, 0, 64, 110
"
298,"3, 5280, Note_on_c, 0, 64, 0
"
299,"3, 5280, Note_on_c, 0, 64, 110
"
300,"3, 5376, Note_on_c, 0, 55, 0
"
301,"3, 5376, Note_on_c, 0, 60, 0
"
302,"3, 5376, Note_on_c, 0, 54, 91
"
303,"3, 5376, Note_on_c, 0, 59, 91
"
304,"3, 5424, Note_on_c, 0, 64, 0
"
305,"3, 5424, Note_on_c, 0, 63, 110
"
306,"3, 5472, Note_on_c, 0, 54, 0
"
307,"3, 5472, Note_on_c, 0, 59, 0
"
308,"3, 5472, Note_on_c, 0, 63, 0
"
309,"3, 5472, Note_on_c, 0, 53, 91
"
310,"3, 5472, Note_on_c, 0, 58, 91
"
311,"3, 5472, Note_on_c, 0, 62, 110
"
312,"3, 5520, Note_on_c, 0, 62, 0
"
313,"3, 5520, Note_on_c, 0, 65, 110
"
314,"3, 5568, Note_on_c, 0, 65, 0
"
315,"3, 5568, Note_on_c, 0, 62, 110
"
316,"3, 5664, Note_on_c, 0, 53, 0
"
317,"3, 5664, Note_on_c, 0, 58, 0
"
318,"3, 5664, Note_on_c, 0, 62, 0
"
319,"3, 5664, Note_on_c, 0, 55, 91
"
320,"3, 5664, Note_on_c, 0, 58, 91
"
321,"3, 5664, Note_on_c, 0, 61, 91
"
322,"3, 5664, Note_on_c, 0, 65, 110
"
323,"3, 5760, Note_on_c, 0, 55, 0
"
324,"3, 5760, Note_on_c, 0, 58, 0
"
325,"3, 5760, Note_on_c, 0, 61, 0
"
326,"3, 5760, Note_on_c, 0, 65, 0
"
327,"3, 5760, Note_on_c, 0, 52, 91
"
328,"3, 5760, Note_on_c, 0, 57, 91
"
329,"3, 5760, Note_on_c, 0, 60, 91
"
330,"3, 5760, Note_on_c, 0, 67, 110
"
331,"3, 5952, Note_on_c, 0, 72, 91
"
332,"3, 6048, Note_on_c, 0, 52, 0
"
333,"3, 6048, Note_on_c, 0, 57, 0
"
334,"3, 6048, Note_on_c, 0, 60, 0
"
335,"3, 6048, Note_on_c, 0, 67, 0
"
336,"3, 6048, Note_on_c, 0, 72, 0
"
337,"3, 6048, Note_on_c, 0, 65, 91
"
338,"3, 6048, Note_on_c, 0, 63, 91
"
339,"3, 6048, Note_on_c, 0, 72, 110
"
340,"3, 6096, Note_on_c, 0, 72, 0
"
341,"3, 6096, Note_on_c, 0, 68, 110
"
342,"3, 6144, Note_on_c, 0, 65, 0
"
343,"3, 6144, Note_on_c, 0, 63, 0
"
344,"3, 6144, Note_on_c, 0, 68, 0
"
345,"3, 6144, Note_on_c, 0, 53, 91
"
346,"3, 6144, Note_on_c, 0, 60, 91
"
347,"3, 6144, Note_on_c, 0, 63, 91
"
348,"3, 6144, Note_on_c, 0, 68, 110
"
349,"3, 6288, Note_on_c, 0, 68, 0
"
