cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrite,NumGE1500,PctGE1500
1.61259E+12,D,,Oakland Unified,Alameda,3024,1286,446,457,447,394,30.64
1.61259E+12,S,Oakland Unity High,Oakland Unified,Alameda,67,51,365,381,391,4,7.84
1.61259E+12,S,MetWest High,Oakland Unified,Alameda,25,27,405,386,402,4,14.81
1.61259E+12,S,Bay Area Technology,Oakland Unified,Alameda,19,22,411,427,368,4,18.18
1.61259E+12,S,Lighthouse Community Charter High,Oakland Unified,Alameda,31,27,427,462,439,7,25.93
1.61259E+12,S,McClymonds High,Oakland Unified,Alameda,47,0,NA,NA,NA,NA,NA
1.61259E+12,S,American Indian Public High,Oakland Unified,Alameda,32,38,525,561,516,27,71.05
1.61259E+12,S,Coliseum College Prep Academy,Oakland Unified,Alameda,53,22,399,403,416,2,9.09
1.61259E+12,S,Oakland Charter High,Oakland Unified,Alameda,49,46,518,597,528,31,67.39
1.61259E+12,S,ARISE High,Oakland Unified,Alameda,46,43,352,368,365,0,0
1.61259E+12,S,Civicorps Corpsmember Academy,Oakland Unified,Alameda,73,0,NA,NA,NA,NA,NA
1.61259E+12,S,Oakland International High,Oakland Unified,Alameda,101,21,346,398,370,1,4.76
1.61259E+12,S,Aspire Golden State College Preparatory,Oakland Unified,Alameda,28,37,362,376,381,1,2.7
1.61259E+12,S,Gateway to College at Laney College,Oakland Unified,Alameda,87,0,NA,NA,NA,NA,NA
1.61259E+12,S,Castlemont High,Oakland Unified,Alameda,157,0,NA,NA,NA,NA,NA
1.61259E+12,S,Fremont High,Oakland Unified,Alameda,146,70,370,375,367,2,2.86
1.61259E+12,S,LPS Oakland R & D Campus,Oakland Unified,Alameda,63,0,NA,NA,NA,NA,NA
1.61259E+12,S,Street Academy (Alternative),Oakland Unified,Alameda,35,7,*,*,*,*,*
1.61259E+12,S,LIFE Academy,Oakland Unified,Alameda,68,51,418,417,416,11,21.57
1.61259E+12,S,"Oakland Military Institute, College Prep",Oakland Unified,Alameda,75,52,442,450,440,11,21.15
1.61259E+12,S,Aspire Lionel Wilson College Preparatory,Oakland Unified,Alameda,63,54,407,450,438,14,25.93
1.61259E+12,S,Oakland High,Oakland Unified,Alameda,366,180,416,443,423,37,20.56
1.61259E+12,S,Oakland Technical High,Oakland Unified,Alameda,442,277,505,508,502,140,50.54
1.61259E+12,S,Skyline High,Oakland Unified,Alameda,373,184,464,468,460,65,35.33
1.61259E+12,S,Oakland School for the Arts,Oakland Unified,Alameda,75,68,528,468,514,32,47.06
1.6126E+12,S,"Independent Study, Sojourner Truth",Oakland Unified,Alameda,85,9,*,*,*,*,*
1.61275E+12,D,,Piedmont City Unified,Alameda,192,140,614,614,620,126,90
1.61275E+12,S,Millennium High Alternative,Piedmont City Unified,Alameda,19,12,470,442,441,6,50
1.61275E+12,S,Piedmont High,Piedmont City Unified,Alameda,172,128,627,630,637,120,93.75
1.61291E+12,D,,San Leandro Unified,Alameda,772,336,466,472,463,115,34.23
1.61291E+12,S,Lincoln High (Continuation),San Leandro Unified,Alameda,76,1,*,*,*,*,*
1.61291E+12,S,San Leandro High,San Leandro Unified,Alameda,689,335,466,472,463,115,34.33
1.61309E+12,D,,San Lorenzo Unified,Alameda,1059,465,470,496,467,173,37.2
1.61309E+12,S,East Bay Arts High,San Lorenzo Unified,Alameda,61,22,410,419,415,1,4.55
1.61309E+12,S,KIPP King Collegiate High,San Lorenzo Unified,Alameda,101,87,485,495,500,41,47.13
1.61309E+12,S,Arroyo High,San Lorenzo Unified,Alameda,411,206,497,535,485,102,49.51
1.61309E+12,S,Royal Sunset (Continuation),San Lorenzo Unified,Alameda,108,2,*,*,*,*,*
1.61309E+12,S,San Lorenzo High,San Lorenzo Unified,Alameda,372,148,434,454,432,29,19.59
1.75093E+12,D,,Dublin Unified,Alameda,465,277,538,559,534,190,68.59
1.75093E+12,S,Dublin High,Dublin Unified,Alameda,416,277,538,559,534,190,68.59
1.75101E+12,D,,Pleasanton Unified,Alameda,1302,876,590,618,590,735,83.9
1.75101E+12,S,Foothill High,Pleasanton Unified,Alameda,563,388,588,613,589,320,82.47
1.75101E+12,S,Amador Valley High,Pleasanton Unified,Alameda,651,488,593,621,591,415,85.04
1.76653E+12,D,,SBE - Livermore Valley Charter,Alameda,80,62,539,560,529,42,67.74
