cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrite,NumGE1500,PctGE1500
1.41014E+13,S,College Bridge Academy,Inyo County Office of Education,Inyo,104,0,NA,NA,NA,NA,NA
1.46325E+13,D,,Big Pine Unified,Inyo,9,3,*,*,*,*,*
1.46325E+13,S,Big Pine High,Big Pine Unified,Inyo,9,3,*,*,*,*,*
1.46329E+13,D,,Lone Pine Unified,Inyo,24,6,*,*,*,*,*
1.46329E+13,S,Lone Pine High,Lone Pine Unified,Inyo,20,6,*,*,*,*,*
1.4633E+13,D,,Owens Valley Unified,Inyo,6,1,*,*,*,*,*
1.4633E+13,S,Owens Valley High,Owens Valley Unified,Inyo,6,1,*,*,*,*,*
1.47669E+13,D,,Bishop Unified,Inyo,182,73,494,506,476,38,52.05
1.47669E+13,S,Bishop Independent Study,Bishop Unified,Inyo,12,0,NA,NA,NA,NA,NA
1.47669E+13,S,Bishop Union High,Bishop Unified,Inyo,158,73,494,506,476,38,52.05
1.5E+13,C,,,Kern,13198,4300,459,467,449,1308,30.42
1.51016E+13,D,,Kern County Office of Education,Kern,736,71,404,410,407,10,14.08
1.51016E+13,S,Paramount Academy,Kern County Office of Education,Kern,56,54,373,390,377,4,7.41
1.51016E+13,S,Valley Oaks Charter,Kern County Office of Education,Kern,63,17,499,476,502,6,35.29
1.56341E+13,D,,Delano Joint Union High,Kern,977,372,439,457,436,87,23.39
1.56341E+13,S,Cesar E. Chavez High,Delano Joint Union High,Kern,317,162,439,463,439,37,22.84
1.56341E+13,S,Robert F. Kennedy High,Delano Joint Union High,Kern,223,85,443,449,449,19,22.35
1.56341E+13,S,Delano High,Delano Joint Union High,Kern,390,125,436,453,422,31,24.8
1.56353E+13,D,,Kern High,Kern,9227,3182,461,468,450,973,30.58
1.56353E+13,S,Golden Valley High,Kern High,Kern,583,236,431,425,424,39,16.53
1.56353E+13,S,Frontier High,Kern High,Kern,562,244,486,503,475,102,41.8
1.56353E+13,S,Independence High,Kern High,Kern,459,213,471,473,463,75,35.21
1.56353E+13,S,Mira Monte High,Kern High,Kern,463,184,398,406,403,19,10.33
1.56353E+13,S,Nueva Continuation High,Kern High,Kern,81,1,*,*,*,*,*
1.56353E+13,S,Vista West Continuation High,Kern High,Kern,179,2,*,*,*,*,*
1.56353E+13,S,Arvin High,Kern High,Kern,517,171,420,424,417,21,12.28
1.56353E+13,S,Stockdale High,Kern High,Kern,461,271,524,548,520,157,57.93
1.56353E+13,S,Centennial High,Kern High,Kern,433,204,509,519,489,108,52.94
1.56353E+13,S,Ridgeview High,Kern High,Kern,555,233,436,443,421,38,16.31
1.56353E+13,S,Kern Workforce 2000 Academy,Kern High,Kern,213,0,NA,NA,NA,NA,NA
1.56353E+13,S,Liberty High,Kern High,Kern,424,208,517,531,501,120,57.69
1.56353E+13,S,Bakersfield High,Kern High,Kern,677,200,486,492,457,80,40
1.56353E+13,S,East Bakersfield High,Kern High,Kern,488,168,425,429,435,34,20.24
1.56353E+13,S,Foothill High,Kern High,Kern,429,144,415,436,410,18,12.5
1.56353E+13,S,Highland High,Kern High,Kern,463,183,470,454,445,52,28.42
1.56353E+13,S,Kern Valley High,Kern High,Kern,108,23,482,464,467,6,26.09
1.56353E+13,S,North High,Kern High,Kern,348,96,467,460,443,29,30.21
1.56353E+13,S,Shafter High,Kern High,Kern,309,79,442,464,440,16,20.25
1.56353E+13,S,South High,Kern High,Kern,448,176,417,420,400,18,10.23
1.56353E+13,S,West High,Kern High,Kern,538,146,450,455,432,41,28.08
1.56363E+13,D,,Maricopa Unified,Kern,136,4,*,*,*,*,*
1.56363E+13,S,California Virtual Academy High @ Maricopa,Maricopa Unified,Kern,120,0,NA,NA,NA,NA,NA
1.56363E+13,S,Maricopa High,Maricopa Unified,Kern,16,4,*,*,*,*,*
1.56368E+13,D,,Mojave Unified,Kern,159,50,450,430,428,9,18
1.56368E+13,S,California City High,Mojave Unified,Kern,113,41,445,431,424,8,19.51
1.56368E+13,S,Mojave Jr./Sr. High,Mojave Unified,Kern,46,9,*,*,*,*,*
1.56369E+13,D,,Muroc Joint Unified,Kern,138,58,498,507,484,27,46.55
1.56369E+13,S,Boron Junior-Senior High,Muroc Joint Unified,Kern,43,9,*,*,*,*,*
1.56369E+13,S,Desert Junior-Senior High,Muroc Joint Unified,Kern,95,49,502,505,489,23,46.94
1.56378E+13,D,,Southern Kern Unified,Kern,223,51,465,471,463,17,33.33
1.56378E+13,S,Abraham Lincoln Alternative,Southern Kern Unified,Kern,19,0,NA,NA,NA,NA,NA
1.56378E+13,S,Rosamond High,Southern Kern Unified,Kern,181,51,465,471,463,17,33.33
1.56382E+13,D,,Taft Union High,Kern,251,69,464,471,452,18,26.09
1.56382E+13,S,Taft Union High,Taft Union High,Kern,222,69,464,471,452,18,26.09
1.56383E+13,D,,Tehachapi Unified,Kern,326,102,528,518,501,56,54.9
1.56383E+13,S,Tehachapi High,Tehachapi Unified,Kern,259,102,528,518,501,56,54.9
1.56386E+13,D,,Wasco Union High,Kern,385,106,432,448,433,22,20.75
1.56386E+13,S,Wasco High,Wasco Union High,Kern,327,106,432,448,433,22,20.75
1.57374E+13,D,,Sierra Sands Unified,Kern,371,116,518,536,514,70,60.34
1.57374E+13,S,Burroughs High,Sierra Sands Unified,Kern,319,116,518,536,514,70,60.34
1.57391E+13,D,,McFarland Unified,Kern,203,100,407,420,394,14,14
1.57391E+13,S,McFarland High,McFarland Unified,Kern,193,100,407,420,394,14,14
1.57517E+13,D,,El Tejon Unified,Kern,66,19,473,469,443,5,26.32
1.57517E+13,S,Frazier Mountain High,El Tejon Unified,Kern,66,19,473,469,443,5,26.32
1.6E+13,C,,,Kings,2123,586,451,446,440,149,25.43
1.61017E+13,D,,Kings County Office of Education,Kings,58,0,NA,NA,NA,NA,NA
1.66388E+13,D,,Armona Union Elementary,Kings,174,3,*,*,*,*,*
1.66388E+13,S,Crossroads Charter,Armona Union Elementary,Kings,43,0,NA,NA,NA,NA,NA
