,0
352,"2, 8832, Note_on_c, 9, 83, 57
"
353,"2, 8832, Note_on_c, 9, 36, 100
"
354,"2, 8841, Note_on_c, 9, 59, 0
"
355,"2, 8841, Note_on_c, 9, 83, 0
"
356,"2, 8841, Note_on_c, 9, 36, 0
"
357,"2, 8928, Note_on_c, 9, 59, 114
"
358,"2, 8928, Note_on_c, 9, 37, 85
"
359,"2, 8928, Note_on_c, 9, 83, 57
"
360,"2, 8928, Note_on_c, 9, 36, 100
"
361,"2, 8928, Note_on_c, 9, 44, 126
"
362,"2, 8937, Note_on_c, 9, 59, 0
"
363,"2, 8937, Note_on_c, 9, 37, 0
"
364,"2, 8937, Note_on_c, 9, 83, 0
"
365,"2, 8937, Note_on_c, 9, 36, 0
"
366,"2, 8937, Note_on_c, 9, 44, 0
"
367,"2, 9024, Note_on_c, 9, 59, 110
"
368,"2, 9024, Note_on_c, 9, 83, 57
"
369,"2, 9024, Note_on_c, 9, 36, 100
"
370,"2, 9033, Note_on_c, 9, 59, 0
"
371,"2, 9033, Note_on_c, 9, 83, 0
"
372,"2, 9033, Note_on_c, 9, 36, 0
"
373,"2, 9120, Note_on_c, 9, 59, 113
"
374,"2, 9120, Note_on_c, 9, 83, 55
"
375,"2, 9120, Note_on_c, 9, 37, 90
"
376,"2, 9120, Note_on_c, 9, 44, 126
"
377,"2, 9129, Note_on_c, 9, 59, 0
"
378,"2, 9129, Note_on_c, 9, 83, 0
"
379,"2, 9129, Note_on_c, 9, 37, 0
"
380,"2, 9129, Note_on_c, 9, 44, 0
"
381,"2, 9184, Note_on_c, 9, 59, 99
"
382,"2, 9184, Note_on_c, 9, 36, 100
"
383,"2, 9193, Note_on_c, 9, 59, 0
"
384,"2, 9193, Note_on_c, 9, 36, 0
"
385,"2, 9216, Note_on_c, 9, 59, 94
"
386,"2, 9216, Note_on_c, 9, 83, 56
"
387,"2, 9216, Note_on_c, 9, 36, 100
"
388,"2, 9225, Note_on_c, 9, 59, 0
"
389,"2, 9225, Note_on_c, 9, 83, 0
"
390,"2, 9225, Note_on_c, 9, 36, 0
"
391,"2, 9312, Note_on_c, 9, 59, 115
"
392,"2, 9312, Note_on_c, 9, 37, 89
"
393,"2, 9312, Note_on_c, 9, 83, 57
"
394,"2, 9312, Note_on_c, 9, 44, 126
"
395,"2, 9321, Note_on_c, 9, 59, 0
"
396,"2, 9321, Note_on_c, 9, 37, 0
"
397,"2, 9321, Note_on_c, 9, 83, 0
"
398,"2, 9321, Note_on_c, 9, 44, 0
"
399,"2, 9376, Note_on_c, 9, 59, 106
"
400,"2, 9385, Note_on_c, 9, 59, 0
"
401,"2, 9408, Note_on_c, 9, 59, 101
"
402,"2, 9408, Note_on_c, 9, 83, 52
"
403,"2, 9408, Note_on_c, 9, 36, 100
"
404,"2, 9417, Note_on_c, 9, 59, 0
"
405,"2, 9417, Note_on_c, 9, 83, 0
"
406,"2, 9417, Note_on_c, 9, 36, 0
"
407,"2, 9504, Note_on_c, 9, 59, 114
"
408,"2, 9504, Note_on_c, 9, 44, 126
"
409,"2, 9504, Note_on_c, 9, 37, 87
"
410,"2, 9504, Note_on_c, 9, 83, 57
"
411,"2, 9504, Note_on_c, 9, 36, 100
"
412,"2, 9513, Note_on_c, 9, 59, 0
"
413,"2, 9513, Note_on_c, 9, 44, 0
"
414,"2, 9513, Note_on_c, 9, 37, 0
"
415,"2, 9513, Note_on_c, 9, 83, 0
"
416,"2, 9513, Note_on_c, 9, 36, 0
"
417,"2, 9600, Note_on_c, 9, 59, 112
"
418,"2, 9600, Note_on_c, 9, 83, 55
"
419,"2, 9600, Note_on_c, 9, 36, 100
"
420,"2, 9609, Note_on_c, 9, 59, 0
"
421,"2, 9609, Note_on_c, 9, 83, 0
"
422,"2, 9609, Note_on_c, 9, 36, 0
"
423,"2, 9664, Note_on_c, 9, 37, 87
"
424,"2, 9673, Note_on_c, 9, 37, 0
"
425,"2, 9696, Note_on_c, 9, 59, 117
"
426,"2, 9696, Note_on_c, 9, 83, 57
"
427,"2, 9696, Note_on_c, 9, 36, 100
"
428,"2, 9696, Note_on_c, 9, 44, 126
"
429,"2, 9705, Note_on_c, 9, 59, 0
"
430,"2, 9705, Note_on_c, 9, 83, 0
"
431,"2, 9705, Note_on_c, 9, 36, 0
"
432,"2, 9705, Note_on_c, 9, 44, 0
"
433,"2, 9760, Note_on_c, 9, 59, 105
"
434,"2, 9760, Note_on_c, 9, 37, 82
"
435,"2, 9769, Note_on_c, 9, 59, 0
"
436,"2, 9769, Note_on_c, 9, 37, 0
"
437,"2, 9792, Note_on_c, 9, 59, 111
"
438,"2, 9792, Note_on_c, 9, 83, 57
"
439,"2, 9792, Note_on_c, 9, 36, 100
"
440,"2, 9801, Note_on_c, 9, 59, 0
"
441,"2, 9801, Note_on_c, 9, 83, 0
"
442,"2, 9801, Note_on_c, 9, 36, 0
"
443,"2, 9888, Note_on_c, 9, 83, 57
"
444,"2, 9888, Note_on_c, 9, 59, 110
"
445,"2, 9888, Note_on_c, 9, 37, 92
"
446,"2, 9888, Note_on_c, 9, 44, 126
"
447,"2, 9897, Note_on_c, 9, 83, 0
"
448,"2, 9897, Note_on_c, 9, 59, 0
"
449,"2, 9897, Note_on_c, 9, 37, 0
"
450,"2, 9897, Note_on_c, 9, 44, 0
"
451,"2, 9952, Note_on_c, 9, 36, 100
"
452,"2, 9961, Note_on_c, 9, 36, 0
"
453,"2, 9984, Note_on_c, 9, 83, 56
"
454,"2, 9984, Note_on_c, 9, 36, 100
"
455,"2, 9984, Note_on_c, 9, 59, 106
"
456,"2, 9993, Note_on_c, 9, 83, 0
"
457,"2, 9993, Note_on_c, 9, 36, 0
"
458,"2, 9993, Note_on_c, 9, 59, 0
"
459,"2, 10080, Note_on_c, 9, 37, 92
"
460,"2, 10080, Note_on_c, 9, 59, 108
"
461,"2, 10080, Note_on_c, 9, 83, 57
"
462,"2, 10080, Note_on_c, 9, 44, 126
"
463,"2, 10089, Note_on_c, 9, 37, 0
"
464,"2, 10089, Note_on_c, 9, 59, 0
"
465,"2, 10089, Note_on_c, 9, 83, 0
"
466,"2, 10089, Note_on_c, 9, 44, 0
"
467,"2, 10144, Note_on_c, 9, 59, 105
"
468,"2, 10153, Note_on_c, 9, 59, 0
"
469,"2, 10176, Note_on_c, 9, 59, 108
"
470,"2, 10176, Note_on_c, 9, 83, 57
"
471,"2, 10176, Note_on_c, 9, 36, 100
"
472,"2, 10185, Note_on_c, 9, 59, 0
"
473,"2, 10185, Note_on_c, 9, 83, 0
"
474,"2, 10185, Note_on_c, 9, 36, 0
"
475,"2, 10272, Note_on_c, 9, 59, 113
"
476,"2, 10272, Note_on_c, 9, 37, 90
"
477,"2, 10272, Note_on_c, 9, 83, 56
"
478,"2, 10272, Note_on_c, 9, 44, 126
"
479,"2, 10281, Note_on_c, 9, 59, 0
"
480,"2, 10281, Note_on_c, 9, 37, 0
"
481,"2, 10281, Note_on_c, 9, 83, 0
"
482,"2, 10281, Note_on_c, 9, 44, 0
"
483,"2, 10336, Note_on_c, 9, 36, 100
"
484,"2, 10345, Note_on_c, 9, 36, 0
"
485,"2, 10368, Note_on_c, 9, 59, 109
"
486,"2, 10368, Note_on_c, 9, 83, 56
"
487,"2, 10368, Note_on_c, 9, 36, 100
"
488,"2, 10377, Note_on_c, 9, 59, 0
"
489,"2, 10377, Note_on_c, 9, 83, 0
"
490,"2, 10377, Note_on_c, 9, 36, 0
"
491,"2, 10464, Note_on_c, 9, 59, 114
"
492,"2, 10464, Note_on_c, 9, 83, 57
"
493,"2, 10464, Note_on_c, 9, 36, 100
"
494,"2, 10464, Note_on_c, 9, 37, 90
"
495,"2, 10464, Note_on_c, 9, 44, 126
"
496,"2, 10473, Note_on_c, 9, 59, 0
"
497,"2, 10473, Note_on_c, 9, 83, 0
"
498,"2, 10473, Note_on_c, 9, 36, 0
"
499,"2, 10473, Note_on_c, 9, 37, 0
"
500,"2, 10473, Note_on_c, 9, 44, 0
"
501,"2, 10528, Note_on_c, 9, 59, 108
"
502,"2, 10537, Note_on_c, 9, 59, 0
"
503,"2, 10560, Note_on_c, 9, 59, 105
"
504,"2, 10560, Note_on_c, 9, 83, 56
"
505,"2, 10560, Note_on_c, 9, 36, 100
"
506,"2, 10569, Note_on_c, 9, 59, 0
"
507,"2, 10569, Note_on_c, 9, 83, 0
"
508,"2, 10569, Note_on_c, 9, 36, 0
"
509,"2, 10656, Note_on_c, 9, 83, 56
"
510,"2, 10656, Note_on_c, 9, 36, 100
"
511,"2, 10656, Note_on_c, 9, 37, 89
"
512,"2, 10656, Note_on_c, 9, 44, 126
"
513,"2, 10656, Note_on_c, 9, 59, 116
"
514,"2, 10665, Note_on_c, 9, 83, 0
"
515,"2, 10665, Note_on_c, 9, 36, 0
"
516,"2, 10665, Note_on_c, 9, 37, 0
"
